hr	hc	α	c	v	r	z	pd	w	obj	status
4.0	1.0	0.15	1.5	0.2	1.0	-0.3291526237919503	12.01783596438968	7.655108052668124	14.58850348464672	LOCALLY_SOLVED
3.0	1.5	0.15	1.5	0.2	1.0	-0.3291055459030067	11.923838243097196	7.692060466256948	14.74695862493796	LOCALLY_SOLVED
3.5	1.5	0.15	1.5	0.2	1.0	-0.3291526237919505	11.942835964389683	7.655108052668126	14.588503484646726	LOCALLY_SOLVED
4.0	1.5	0.15	1.5	0.2	1.0	-0.32920083608362455	11.96183550996832	7.618160546038891	14.430892174446713	LOCALLY_SOLVED
3.0	0.5	0.1	2.0	0.2	1.0	-0.3622295723257942	12.133666765796503	8.123862451475889	14.25372078096524	LOCALLY_SOLVED
3.5	0.5	0.1	2.0	0.2	1.0	-0.36237711311354176	12.146277587718076	8.09925159140931	14.14938743854951	LOCALLY_SOLVED
4.0	0.5	0.1	2.0	0.2	1.0	-0.3625259367151169	12.15888873026966	8.074642847298238	14.045429725280197	LOCALLY_SOLVED
3.0	1.0	0.1	2.0	0.2	1.0	-0.3623771131135419	12.096277587718074	8.09925159140931	14.149387438549521	LOCALLY_SOLVED
3.5	1.0	0.1	2.0	0.2	1.0	-0.3625259367151174	12.108888730269662	8.074642847298243	14.045429725280215	LOCALLY_SOLVED
4.0	1.0	0.1	2.0	0.2	1.0	-0.36267605856658297	12.121500192726705	8.050036235699476	13.941847648483456	LOCALLY_SOLVED
3.0	1.5	0.1	2.0	0.2	1.0	-0.3625259367151167	12.05888873026966	8.074642847298238	14.045429725280215	LOCALLY_SOLVED
3.5	1.5	0.1	2.0	0.2	1.0	-0.36267605856658247	12.071500192726704	8.050036235699471	13.94184764848345	LOCALLY_SOLVED
4.0	1.5	0.1	2.0	0.2	1.0	-0.36282749434021405	12.084111974306206	8.025431773333088	13.83864121559488	LOCALLY_SOLVED
3.0	0.5	0.15	2.0	0.2	1.0	-0.36275161122426386	12.152806043677417	8.0377337348108	13.890197476081585	LOCALLY_SOLVED
3.5	0.5	0.15	2.0	0.2	1.0	-0.3629802599488856	12.171724074164988	8.000829477084281	13.735810434161646	LOCALLY_SOLVED
4.0	0.5	0.15	2.0	0.2	1.0	-0.3632119372162535	12.190642818729467	7.9639301315293	13.58226862527988	LOCALLY_SOLVED
3.0	1.0	0.15	2.0	0.2	1.0	-0.3629802599488855	12.096724074164989	8.00082947708428	13.735810434161637	LOCALLY_SOLVED
3.5	1.0	0.15	2.0	0.2	1.0	-0.3632119372162532	12.115642818729464	7.963930131529297	13.58226862527988	LOCALLY_SOLVED
4.0	1.0	0.15	2.0	0.2	1.0	-0.36344669861765316	12.134562274045015	7.927035756411438	13.429572075781175	LOCALLY_SOLVED
3.0	1.5	0.15	2.0	0.2	1.0	-0.36321193721625356	12.040642818729465	7.9639301315293	13.582268625279886	LOCALLY_SOLVED
3.5	1.5	0.15	2.0	0.2	1.0	-0.36344669861765316	12.059562274045016	7.9270357564114375	13.429572075781177	LOCALLY_SOLVED
4.0	1.5	0.15	2.0	0.2	1.0	-0.3636846010441283	12.07848243644853	7.890146410865761	13.277720812612065	LOCALLY_SOLVED
3.0	0.5	0.1	1.0	0.3	1.0	-0.28751044340799053	11.900294462186773	7.574623566825474	16.71475017035786	LOCALLY_SOLVED
3.5	0.5	0.1	1.0	0.3	1.0	-0.287386032572585	11.91300978913557	7.549920743630713	16.602792115660414	LOCALLY_SOLVED
4.0	0.5	0.1	1.0	0.3	1.0	-0.28726099081337436	11.925726414575307	7.525219853513038	16.491208758358745	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.3	1.0	-0.28738603257258516	11.863009789135567	7.5499207436307145	16.602792115660435	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.3	1.0	-0.2872609908133747	11.875726414575304	7.525219853513041	16.491208758358752	LOCALLY_SOLVED
4.0	1.0	0.1	1.0	0.3	1.0	-0.28713531384632135	11.888444349913053	7.500520914888719	16.38000009567247	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.3	1.0	-0.2872609908133746	11.825726414575305	7.525219853513039	16.49120875835875	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.3	1.0	-0.2871353138463209	11.838444349913052	7.500520914888716	16.380000095672457	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.3	1.0	-0.287008997357127	11.851163606684919	7.475823946402421	16.269166124787912	LOCALLY_SOLVED
3.0	0.5	0.15	1.0	0.3	1.0	-0.2870722358128199	11.919803812393633	7.488172183204016	16.324536273932136	LOCALLY_SOLVED
3.5	0.5	0.15	1.0	0.3	1.0	-0.286882037001166	11.93888419655778	7.451128966930671	16.15870684285771	LOCALLY_SOLVED
4.0	0.5	0.15	1.0	0.3	1.0	-0.28669037963835997	11.957967606779333	7.414090268997794	15.993720455438861	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.3	1.0	-0.28688203700116577	11.863884196557779	7.45112896693067	16.158706842857715	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.3	1.0	-0.2866903796383598	11.882967606779333	7.414090268997792	15.99372045543885	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.3	1.0	-0.28649724883022576	11.902054083449999	7.377056154919886	15.829577101803155	LOCALLY_SOLVED
3.0	1.5	0.15	1.0	0.3	1.0	-0.28669037963836047	11.807967606779336	7.414090268997796	15.993720455438856	LOCALLY_SOLVED
3.5	1.5	0.15	1.0	0.3	1.0	-0.28649724883022576	11.827054083449998	7.377056154919886	15.829577101803165	LOCALLY_SOLVED
4.0	1.5	0.15	1.0	0.3	1.0	-0.2863026295281187	11.846143667655515	7.340026691448925	15.666276771898582	LOCALLY_SOLVED
3.0	0.5	0.1	1.5	0.3	1.0	-0.3221531873104408	12.018350113547774	7.848403998226862	15.470024132196512	LOCALLY_SOLVED
3.5	0.5	0.1	1.5	0.3	1.0	-0.32215735187921085	12.03102095062001	7.823750260876783	15.361844337893604	LOCALLY_SOLVED
4.0	0.5	0.1	1.5	0.3	1.0	-0.32216180682902973	12.043692662711504	7.799098593521923	15.25403948563255	LOCALLY_SOLVED
3.0	1.0	0.1	1.5	0.3	1.0	-0.32215735187921163	11.981020950620012	7.823750260876791	15.361844337893608	LOCALLY_SOLVED
3.5	1.0	0.1	1.5	0.3	1.0	-0.32216180682903073	11.993692662711506	7.799098593521931	15.254039485632548	LOCALLY_SOLVED
4.0	1.0	0.1	1.5	0.3	1.0	-0.32216655751921636	12.00636525589863	7.7744490142231815	15.146609575570343	LOCALLY_SOLVED
3.0	1.5	0.1	1.5	0.3	1.0	-0.32216180682902973	11.943692662711502	7.799098593521924	15.254039485632559	LOCALLY_SOLVED
3.5	1.5	0.1	1.5	0.3	1.0	-0.32216655751921625	11.956365255898628	7.774449014223182	15.14660957557034	LOCALLY_SOLVED
4.0	1.5	0.1	1.5	0.3	1.0	-0.3221716094107391	11.969038736303451	7.749801541245149	15.039554607875427	LOCALLY_SOLVED
3.0	0.5	0.15	1.5	0.3	1.0	-0.3221690454694702	12.037701884814409	7.762125013294503	15.09303522391599	LOCALLY_SOLVED
3.5	0.5	0.15	1.5	0.3	1.0	-0.3221769680683759	12.056713110093943	7.72515619305892	14.932874582728163	LOCALLY_SOLVED
4.0	0.5	0.15	1.5	0.3	1.0	-0.32218559367567984	12.075726359483642	7.688192195685412	14.773557562708595	LOCALLY_SOLVED
3.0	1.0	0.15	1.5	0.3	1.0	-0.3221769680683758	11.981713110093942	7.72515619305892	14.932874582728163	LOCALLY_SOLVED
3.5	1.0	0.15	1.5	0.3	1.0	-0.3221855936756797	12.00072635948364	7.688192195685409	14.773557562708593	LOCALLY_SOLVED
4.0	1.0	0.15	1.5	0.3	1.0	-0.3221949418894808	12.019741654151169	7.65123308511822	14.615084164560278	LOCALLY_SOLVED
3.0	1.5	0.15	1.5	0.3	1.0	-0.3221855936756799	11.925726359483642	7.688192195685412	14.773557562708595	LOCALLY_SOLVED
3.5	1.5	0.15	1.5	0.3	1.0	-0.3221949418894809	11.944741654151166	7.651233085118222	14.6150841645603	LOCALLY_SOLVED
4.0	1.5	0.15	1.5	0.3	1.0	-0.3222050328737017	11.96375901549954	7.614278926397644	14.457454389052623	LOCALLY_SOLVED
3.0	0.5	0.1	2.0	0.3	1.0	-0.3558848083114331	12.135546466117972	8.120436104489999	14.277675688569815	LOCALLY_SOLVED
3.5	0.5	0.1	2.0	0.3	1.0	-0.35601120242812095	12.148168238708179	8.095822469545753	14.173322786196195	LOCALLY_SOLVED
4.0	0.5	0.1	2.0	0.3	1.0	-0.35613874565709003	12.160790426249928	8.07121097644668	14.069345382532365	LOCALLY_SOLVED
3.0	1.0	0.1	2.0	0.3	1.0	-0.35601120242812095	12.098168238708174	8.095822469545752	14.1733227861962	LOCALLY_SOLVED
3.5	1.0	0.1	2.0	0.3	1.0	-0.35613874565709086	12.110790426249928	8.071210976446686	14.069345382532378	LOCALLY_SOLVED
4.0	1.0	0.1	2.0	0.3	1.0	-0.35626745222260814	12.123413029086889	8.04660164232311	13.965743483633323	LOCALLY_SOLVED
3.0	1.5	0.1	2.0	0.3	1.0	-0.3561387456570905	12.060790426249927	8.071210976446684	14.069345382532374	LOCALLY_SOLVED
3.5	1.5	0.1	2.0	0.3	1.0	-0.35626745222260753	12.073413029086888	8.046601642323107	13.965743483633323	LOCALLY_SOLVED
4.0	1.5	0.1	2.0	0.3	1.0	-0.35639733657111716	12.086036047519183	8.021994484478874	13.862517095647384	LOCALLY_SOLVED
3.0	0.5	0.15	2.0	0.3	1.0	-0.3563322462622927	12.1547244863366	8.034297790277744	13.914083350388253	LOCALLY_SOLVED
3.5	0.5	0.15	2.0	0.3	1.0	-0.3565284133754314	12.173659481801948	7.997389520393422	13.759666224818007	LOCALLY_SOLVED
4.0	0.5	0.15	2.0	0.3	1.0	-0.3567272971020157	12.192595413388911	7.960486226236878	13.60609402713873	LOCALLY_SOLVED
3.0	1.0	0.15	2.0	0.3	1.0	-0.3565284133754317	12.098659481801949	7.997389520393422	13.759666224817991	LOCALLY_SOLVED
3.5	1.0	0.15	2.0	0.3	1.0	-0.3567272971020153	12.117595413388907	7.960486226236872	13.606094027138733	LOCALLY_SOLVED
4.0	1.0	0.15	2.0	0.3	1.0	-0.3569289487375106	12.136532281596855	7.923587968161162	13.45336677916719	LOCALLY_SOLVED
3.0	1.5	0.15	2.0	0.3	1.0	-0.35672729710201556	12.042595413388911	7.960486226236878	13.60609402713873	LOCALLY_SOLVED
3.5	1.5	0.15	2.0	0.3	1.0	-0.35692894873751063	12.061532281596856	7.9235879681611605	13.453366779167187	LOCALLY_SOLVED
4.0	1.5	0.15	2.0	0.3	1.0	-0.3571334208015298	12.080470086669212	7.886694807445282	13.301484503233953	LOCALLY_SOLVED
3.0	0.5	0.1	1.0	0.4	1.0	-0.28016550061331225	11.9020223716075	7.570221288615221	16.74500445292249	LOCALLY_SOLVED
3.5	0.5	0.1	1.0	0.4	1.0	-0.28001291361525377	11.914748760325388	7.545511295243196	16.63304637027525	LOCALLY_SOLVED
4.0	0.5	0.1	1.0	0.4	1.0	-0.27985949060376	11.927476552174344	7.52080323588557	16.5214629714362	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.4	1.0	-0.28001291361525393	11.864748760325385	7.545511295243196	16.63304637027526	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.4	1.0	-0.27985949060376036	11.877476552174347	7.520803235885574	16.52146297143621	LOCALLY_SOLVED
4.0	1.0	0.1	1.0	0.4	1.0	-0.27970522514562063	11.890205759861985	7.496097129417719	16.410254253365242	LOCALLY_SOLVED
3.0	1.5	0.1	1.0	0.4	1.0	-0.2798594906037608	11.827476552174348	7.520803235885576	16.52146297143621	LOCALLY_SOLVED
3.5	1.5	0.1	1.0	0.4	1.0	-0.2797052251456207	11.840205759861986	7.496097129417721	16.410254253365242	LOCALLY_SOLVED
4.0	1.5	0.1	1.0	0.4	1.0	-0.27955011074834407	11.852936396244859	7.471392994954755	16.29942021298402	LOCALLY_SOLVED
3.0	0.5	0.15	1.0	0.4	1.0	-0.27962777447248555	11.921570898657107	7.483744814481465	16.35479039865732	LOCALLY_SOLVED
3.5	0.5	0.15	1.0	0.4	1.0	-0.2793941408596153	11.940668474330561	7.446690851855248	16.188960847175444	LOCALLY_SOLVED
4.0	0.5	0.15	1.0	0.4	1.0	-0.2791585674981567	11.95976932348354	7.409641413968726	16.023974306370594	LOCALLY_SOLVED
3.0	1.0	0.15	1.0	0.4	1.0	-0.27939414085961534	11.865668474330558	7.446690851855248	16.18896084717545	LOCALLY_SOLVED
3.5	1.0	0.15	1.0	0.4	1.0	-0.27915856749815665	11.88476932348354	7.409641413968726	16.023974306370604	LOCALLY_SOLVED
4.0	1.0	0.15	1.0	0.4	1.0	-0.2789210318127121	11.903873491191439	7.372596568054917	15.85983076542032	LOCALLY_SOLVED
3.0	1.5	0.15	1.0	0.4	1.0	-0.27915856749815693	11.80976932348354	7.4096414139687266	16.023974306370597	LOCALLY_SOLVED
3.5	1.5	0.15	1.0	0.4	1.0	-0.27892103181271255	11.828873491191441	7.37259656805492	15.859830765420323	LOCALLY_SOLVED
4.0	1.5	0.15	1.0	0.4	1.0	-0.2786815109152917	11.847981023333002	7.335556382647926	15.696530213295109	LOCALLY_SOLVED
3.0	0.5	0.1	1.5	0.4	1.0	-0.3152571392751272	12.02017122605024	7.844468011439724	15.497252137122635	LOCALLY_SOLVED
3.5	0.5	0.1	1.5	0.4	1.0	-0.31523633905013015	12.03285327965061	7.819809320783711	15.389062387019589	LOCALLY_SOLVED
4.0	0.5	0.1	1.5	0.4	1.0	-0.31521565723990796	12.045536310533029	7.795152714836473	15.281247502338886	LOCALLY_SOLVED
3.0	1.0	0.1	1.5	0.4	1.0	-0.3152363390501304	11.982853279650607	7.819809320783709	15.389062387019594	LOCALLY_SOLVED
3.5	1.0	0.1	1.5	0.4	1.0	-0.3152156572399087	11.99553631053303	7.7951527148364805	15.281247502338893	LOCALLY_SOLVED
4.0	1.0	0.1	1.5	0.4	1.0	-0.3151950974951079	12.008220326001585	7.770498212201151	15.173807482395524	LOCALLY_SOLVED
3.0	1.5	0.1	1.5	0.4	1.0	-0.31521565723990863	11.945536310533031	7.795152714836477	15.281247502338884	LOCALLY_SOLVED
3.5	1.5	0.1	1.5	0.4	1.0	-0.3151950974951075	11.95822032600158	7.770498212201146	15.17380748239553	LOCALLY_SOLVED
4.0	1.5	0.1	1.5	0.4	1.0	-0.31517466354611323	11.970905333424259	7.745845831695866	15.066742326504167	LOCALLY_SOLVED
3.0	0.5	0.15	1.5	0.4	1.0	-0.3151848645598217	12.039562705255646	7.758171755497639	15.1202280464862	LOCALLY_SOLVED
3.5	0.5	0.15	1.5	0.4	1.0	-0.315154359204858	12.058591340233475	7.7211955923567555	14.960052033979135	LOCALLY_SOLVED
4.0	0.5	0.15	1.5	0.4	1.0	-0.3151241542518213	12.077622240715375	7.684224290220986	14.800719462503324	LOCALLY_SOLVED
3.0	1.0	0.15	1.5	0.4	1.0	-0.31515435920485746	11.983591340233474	7.721195592356753	14.960052033979123	LOCALLY_SOLVED
3.5	1.0	0.15	1.5	0.4	1.0	-0.3151241542518213	12.002622240715374	7.684224290220986	14.800719462503318	LOCALLY_SOLVED
4.0	1.0	0.15	1.5	0.4	1.0	-0.315094263209448	12.021655432281495	7.647257915032322	14.64223032974452	LOCALLY_SOLVED
3.0	1.5	0.15	1.5	0.4	1.0	-0.3151241542518216	11.927622240715376	7.68422429022099	14.800719462503325	LOCALLY_SOLVED
3.5	1.5	0.15	1.5	0.4	1.0	-0.315094263209448	11.946655432281496	7.647257915032322	14.64223032974452	LOCALLY_SOLVED
4.0	1.5	0.15	1.5	0.4	1.0	-0.3150647000333203	11.965690940847104	7.610296533891597	14.484584633389733	LOCALLY_SOLVED
3.0	0.5	0.1	2.0	0.4	1.0	-0.34941494253488364	12.137436931897176	8.116924150101191	14.30212042267987	LOCALLY_SOLVED
3.5	0.5	0.1	2.0	0.4	1.0	-0.34951935111511756	12.150069875445903	8.092307450489375	14.197749198802878	LOCALLY_SOLVED
4.0	0.5	0.1	2.0	0.4	1.0	-0.3496247669662247	12.162703331578543	8.06769291799402	14.093753348715271	LOCALLY_SOLVED
3.0	1.0	0.1	2.0	0.4	1.0	-0.3495193511151181	12.100069875445906	8.092307450489383	14.197749198802873	LOCALLY_SOLVED
3.5	1.0	0.1	2.0	0.4	1.0	-0.3496247669662247	12.112703331578542	8.067692917994018	14.093753348715273	LOCALLY_SOLVED
4.0	1.0	0.1	2.0	0.4	1.0	-0.34973120299831656	12.12533730176132	8.04308057033401	13.990132877229367	LOCALLY_SOLVED
3.0	1.5	0.1	2.0	0.4	1.0	-0.3496247669662248	12.062703331578543	8.067692917994018	14.093753348715268	LOCALLY_SOLVED
3.5	1.5	0.1	2.0	0.4	1.0	-0.34973120299831656	12.075337301761321	8.04308057033401	13.990132877229362	LOCALLY_SOLVED
4.0	1.5	0.1	2.0	0.4	1.0	-0.3498386723280774	12.087971787432872	8.018470425412593	13.886887789234729	LOCALLY_SOLVED
3.0	0.5	0.15	2.0	0.4	1.0	-0.3497848076730187	12.156654480072195	8.030775221404763	13.938463409987	LOCALLY_SOLVED
3.5	0.5	0.15	2.0	0.4	1.0	-0.3499471882827286	12.175606790003032	7.993862501319583	13.78401808969962	LOCALLY_SOLVED
4.0	0.5	0.15	2.0	0.4	1.0	-0.35011195431880116	12.194560266052862	7.956954819270114	13.630417404824462	LOCALLY_SOLVED
3.0	1.0	0.15	2.0	0.4	1.0	-0.349947188282729	12.100606790003036	7.993862501319589	13.784018089699618	LOCALLY_SOLVED
3.5	1.0	0.15	2.0	0.4	1.0	-0.35011195431880177	12.119560266052867	7.956954819270121	13.630417404824456	LOCALLY_SOLVED
4.0	1.0	0.15	2.0	0.4	1.0	-0.3502791524121786	12.138514912744725	7.920052237755678	13.477661372746839	LOCALLY_SOLVED
3.0	1.5	0.15	2.0	0.4	1.0	-0.3501119543188016	12.044560266052867	7.95695481927012	13.630417404824454	LOCALLY_SOLVED
3.5	1.5	0.15	2.0	0.4	1.0	-0.3502791524121793	12.063514912744727	7.920052237755685	13.477661372746848	LOCALLY_SOLVED
4.0	1.5	0.15	2.0	0.4	1.0	-0.35044883033370283	12.082470734432679	7.88315482026105	13.32575001127829	LOCALLY_SOLVED
