hr	hc	α	c	v	r	z	pd	w	obj	status
4.0	1.5	0.1	2.0	0.2	0.5	-0.04106299365978289	11.182763766672235	2.7502246326655406	18.772488652440735	LOCALLY_SOLVED
3.0	0.5	0.15	2.0	0.2	0.5	-0.03663353911920463	11.25325851589121	2.7313020772301266	18.849544424369203	LOCALLY_SOLVED
3.5	0.5	0.15	2.0	0.2	0.5	-0.03048528482114733	11.284776584590126	2.685172401721984	18.652499826046466	LOCALLY_SOLVED
4.0	0.5	0.15	2.0	0.2	0.5	-0.024231265916462425	11.316471304913879	2.6391899895140543	18.45646247171305	LOCALLY_SOLVED
3.0	1.0	0.15	2.0	0.2	0.5	-0.0370091038461313	11.203701906175402	2.71940771481285	18.64129322135645	LOCALLY_SOLVED
3.5	1.0	0.15	2.0	0.2	0.5	-0.03084089942217502	11.23525335370622	2.6733018870232024	18.44534400332146	LOCALLY_SOLVED
4.0	1.0	0.15	2.0	0.2	0.5	-0.02456633152457007	11.266982922402528	2.627344624005385	18.25040093392924	LOCALLY_SOLVED
3.0	1.5	0.15	2.0	0.2	0.5	-0.0373899180729204	11.15414740421237	2.7075177879872347	18.434169772914608	LOCALLY_SOLVED
3.5	1.5	0.15	2.0	0.2	0.5	-0.031201689217009367	11.185732511588865	2.661436037389699	18.239315727216162	LOCALLY_SOLVED
4.0	1.5	0.15	2.0	0.2	0.5	-0.024906495225832534	11.217497225941372	2.6155041684322264	18.045466722927255	LOCALLY_SOLVED
3.0	0.5	0.1	1.0	0.3	0.5	0.0757954270350293	10.88816045633659	2.4577758923135415	22.713767376246487	LOCALLY_SOLVED
3.5	0.5	0.1	1.0	0.3	0.5	0.0808587232366365	10.90935282562558	2.427023802011035	22.572754770337664	LOCALLY_SOLVED
4.0	0.5	0.1	1.0	0.3	0.5	0.08598177824984003	10.930629090470221	2.3963435299892457	22.432202366606575	LOCALLY_SOLVED
3.0	1.0	0.1	1.0	0.3	0.5	0.07595117214967742	10.855222441017007	2.449777906902748	22.562806151474028	LOCALLY_SOLVED
3.5	1.0	0.1	1.0	0.3	0.5	0.08102944446453698	10.876431935129016	2.4190375355334255	22.422283773170097	LOCALLY_SOLVED
