hm	hc	α	c	v	z	pc	ζ	obj	status
1.0	2.0	0.05	0.5	0.2	0.9277739023283026	8.55724653975315	-2.4815215121794007e-9	38.19087487264591	LOCALLY_SOLVED
1.5	2.0	0.05	0.5	0.2	0.9276650305991558	8.569743260875372	-2.48152130878392e-9	38.070859949122685	LOCALLY_SOLVED
2.0	2.0	0.05	0.5	0.2	0.9275558300236972	8.582239967132594	-2.481521066267376e-9	37.951032574894	LOCALLY_SOLVED
2.5	2.0	0.05	0.5	0.2	0.9274462991089673	8.594736658434796	-2.481520783936048e-9	37.83139275018349	LOCALLY_SOLVED
3.0	2.0	0.05	0.5	0.2	0.9273364363529478	8.607233334691273	-2.481520461079276e-9	37.711940475216174	LOCALLY_SOLVED
1.0	2.5	0.05	0.5	0.2	0.9276650305991558	8.544743260875372	-2.481521308783073e-9	38.07085994912268	LOCALLY_SOLVED
1.5	2.5	0.05	0.5	0.2	0.9275558300236973	8.557239967132595	-2.481521066268223e-9	37.951032574894	LOCALLY_SOLVED
2.0	2.5	0.05	0.5	0.2	0.9274462991089671	8.569736658434795	-2.481520783935201e-9	37.83139275018349	LOCALLY_SOLVED
2.5	2.5	0.05	0.5	0.2	0.9273364363529478	8.582233334691274	-2.481520461079276e-9	37.711940475216174	LOCALLY_SOLVED
3.0	2.5	0.05	0.5	0.2	0.9272262402444963	8.594729995810637	-2.4815200969779283e-9	37.59267575021843	LOCALLY_SOLVED
1.0	3.0	0.05	0.5	0.2	0.9275558300236973	8.532239967132593	-2.481521066268223e-9	37.95103257489399	LOCALLY_SOLVED
1.5	3.0	0.05	0.5	0.2	0.9274462991089673	8.544736658434795	-2.481520783936048e-9	37.83139275018349	LOCALLY_SOLVED
2.0	3.0	0.05	0.5	0.2	0.9273364363529479	8.557233334691274	-2.481520461080123e-9	37.711940475216174	LOCALLY_SOLVED
2.5	3.0	0.05	0.5	0.2	0.9272262402444963	8.569729995810636	-2.4815200969779283e-9	37.59267575021843	LOCALLY_SOLVED
3.0	3.0	0.05	0.5	0.2	0.9271157092632742	8.582226641700792	-2.481519690898475e-9	37.473598575418	LOCALLY_SOLVED
1.0	3.5	0.05	0.5	0.2	0.9274462991089671	8.519736658434796	-2.481520783935201e-9	37.83139275018348	LOCALLY_SOLVED
1.5	3.5	0.05	0.5	0.2	0.9273364363529478	8.532233334691274	-2.481520461079276e-9	37.711940475216174	LOCALLY_SOLVED
2.0	3.5	0.05	0.5	0.2	0.9272262402444963	8.544729995810636	-2.4815200969779283e-9	37.59267575021843	LOCALLY_SOLVED
2.5	3.5	0.05	0.5	0.2	0.9271157092632742	8.557226641700794	-2.481519690898475e-9	37.473598575418	LOCALLY_SOLVED
3.0	3.5	0.05	0.5	0.2	0.9270048418796772	8.569723272268957	-2.4815192420929856e-9	37.354708951044024	LOCALLY_SOLVED
1.0	4.0	0.05	0.5	0.2	0.9273364363529478	8.507233334691273	-2.481520461079276e-9	37.711940475216174	LOCALLY_SOLVED
1.5	4.0	0.05	0.5	0.2	0.9272262402444963	8.519729995810637	-2.4815200969770812e-9	37.59267575021844	LOCALLY_SOLVED
2.0	4.0	0.05	0.5	0.2	0.9271157092632742	8.532226641700793	-2.481519690898475e-9	37.47359857541801	LOCALLY_SOLVED
2.5	4.0	0.05	0.5	0.2	0.9270048418796772	8.544723272268957	-2.4815192420929856e-9	37.35470895104403	LOCALLY_SOLVED
3.0	4.0	0.05	0.5	0.2	0.9268936365547653	8.55721988742163	-2.481518749805907e-9	37.23600687732702	LOCALLY_SOLVED
1.0	2.0	0.1	0.5	0.2	0.9271157092632742	8.532226641700793	-2.481519690898475e-9	37.47359857541801	LOCALLY_SOLVED
1.5	2.0	0.1	0.5	0.2	0.9268936365547653	8.55721988742163	-2.481518749805907e-9	37.23600687732702	LOCALLY_SOLVED
2.0	2.0	0.1	0.5	0.2	0.9266702058781251	8.582213071102927	-2.4815176316843e-9	36.999165382793116	LOCALLY_SOLVED
2.5	2.0	0.1	0.5	0.2	0.9264454047323777	8.607206191982296	-2.4815163301936127e-9	36.76307409368888	LOCALLY_SOLVED
3.0	2.0	0.1	0.5	0.2	0.9262192204625275	8.632199249285593	-2.4815148387744216e-9	36.52773301190994	LOCALLY_SOLVED
1.0	2.5	0.1	0.5	0.2	0.9268936365547653	8.507219887421629	-2.481518749805907e-9	37.23600687732702	LOCALLY_SOLVED
1.5	2.5	0.1	0.5	0.2	0.9266702058781251	8.532213071102927	-2.481517631685147e-9	36.99916538279311	LOCALLY_SOLVED
2.0	2.5	0.1	0.5	0.2	0.9264454047323776	8.557206191982297	-2.4815163301927657e-9	36.76307409368888	LOCALLY_SOLVED
2.5	2.5	0.1	0.5	0.2	0.9262192204625275	8.582199249285594	-2.4815148387744216e-9	36.52773301190994	LOCALLY_SOLVED
3.0	2.5	0.1	0.5	0.2	0.9259916402571812	8.607192242226704	-2.4815131506352166e-9	36.293142139375355	LOCALLY_SOLVED
1.0	3.0	0.1	0.5	0.2	0.9266702058781251	8.482213071102928	-2.4815176316843e-9	36.99916538279311	LOCALLY_SOLVED
1.5	3.0	0.1	0.5	0.2	0.9264454047323777	8.507206191982297	-2.4815163301944597e-9	36.76307409368887	LOCALLY_SOLVED
2.0	3.0	0.1	0.5	0.2	0.9262192204625275	8.532199249285593	-2.4815148387744216e-9	36.52773301190994	LOCALLY_SOLVED
2.5	3.0	0.1	0.5	0.2	0.9259916402571812	8.557192242226705	-2.4815131506352166e-9	36.293142139375355	LOCALLY_SOLVED
3.0	3.0	0.1	0.5	0.2	0.925762651146119	8.582185170007323	-2.4815112587464713e-9	36.05930147802793	LOCALLY_SOLVED
1.0	3.5	0.1	0.5	0.2	0.9264454047323777	8.457206191982296	-2.4815163301936127e-9	36.76307409368888	LOCALLY_SOLVED
1.5	3.5	0.1	0.5	0.2	0.9262192204625275	8.482199249285594	-2.4815148387744216e-9	36.52773301190994	LOCALLY_SOLVED
2.0	3.5	0.1	0.5	0.2	0.9259916402571812	8.507192242226704	-2.4815131506360637e-9	36.29314213937536	LOCALLY_SOLVED
2.5	3.5	0.1	0.5	0.2	0.925762651146119	8.532185170007322	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
3.0	3.5	0.1	0.5	0.2	0.9255322399978257	8.557178031816722	-2.4815091558279376e-9	35.82621102983463	LOCALLY_SOLVED
1.0	4.0	0.1	0.5	0.2	0.9262192204625275	8.432199249285594	-2.4815148387735746e-9	36.52773301190994	LOCALLY_SOLVED
1.5	4.0	0.1	0.5	0.2	0.9259916402571812	8.457192242226704	-2.4815131506360637e-9	36.293142139375355	LOCALLY_SOLVED
2.0	4.0	0.1	0.5	0.2	0.9257626511461191	8.482185170007323	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
2.5	4.0	0.1	0.5	0.2	0.9255322399978257	8.507178031816721	-2.4815091558270906e-9	35.82621102983463	LOCALLY_SOLVED
3.0	4.0	0.1	0.5	0.2	0.9253003935169719	8.532170826831518	-2.481506834339328e-9	35.593870796786895	LOCALLY_SOLVED
1.0	2.0	0.15	0.5	0.2	0.9264454047323777	8.507206191982297	-2.4815163301944597e-9	36.76307409368887	LOCALLY_SOLVED
1.5	2.0	0.15	0.5	0.2	0.9261056056586788	8.544695753851029	-2.48151401972829e-9	36.41034379936624	LOCALLY_SOLVED
2.0	2.0	0.15	0.5	0.2	0.925762651146119	8.582185170007323	-2.4815112587464713e-9	36.05930147802793	LOCALLY_SOLVED
2.5	2.0	0.15	0.5	0.2	0.9254164970113957	8.619674437725408	-2.4815080228857953e-9	35.70994713629213	LOCALLY_SOLVED
3.0	2.0	0.15	0.5	0.2	0.9250670982418508	8.657163554215439	-2.481504286472693e-9	35.36228078090105	LOCALLY_SOLVED
1.0	2.5	0.15	0.5	0.2	0.9261056056586789	8.469695753851028	-2.48151401972829e-9	36.41034379936624	LOCALLY_SOLVED
1.5	2.5	0.15	0.5	0.2	0.925762651146119	8.507185170007324	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
2.0	2.5	0.15	0.5	0.2	0.9254164970113956	8.544674437725408	-2.4815080228866423e-9	35.70994713629213	LOCALLY_SOLVED
2.5	2.5	0.15	0.5	0.2	0.9250670982418508	8.58216355421544	-2.48150428647354e-9	35.36228078090105	LOCALLY_SOLVED
3.0	2.5	0.15	0.5	0.2	0.9247144089759025	8.619652516621699	-2.4815000224495443e-9	35.016302418723974	LOCALLY_SOLVED
1.0	3.0	0.15	0.5	0.2	0.925762651146119	8.432185170007322	-2.4815112587464713e-9	36.05930147802794	LOCALLY_SOLVED
1.5	3.0	0.15	0.5	0.2	0.9254164970113957	8.469674437725407	-2.4815080228857953e-9	35.709947136292136	LOCALLY_SOLVED
2.0	3.0	0.15	0.5	0.2	0.9250670982418508	8.507163554215438	-2.48150428647354e-9	35.36228078090105	LOCALLY_SOLVED
